protein_id	protein_name	count
LNNEOK_08750	IS1 family transposase	9
LNNEOK_08745	IS1 family IS1A transposase ORF A	7
LNNEOK_03510	IS3 family IS2 transposase ORF A	6
LNNEOK_08900	IS3 family IS629 transposase ORF B	5
LNNEOK_02865	IS6 family IS15DIV transposase	5
LNNEOK_08800	IS3 family IS1203 transposase ORF A	4
LNNEOK_03515	IS3 family IS2 transposase ORF B	4
LNNEOK_01165	IS200/IS605-like element IS200C family transposase	3
LNNEOK_08885	Transposase	3
LNNEOK_17105	IS3 family transposase	3
LNNEOK_24790	Putative transposase InsN for insertion sequence element IS911A	3
LNNEOK_00025	Opacity protein LomR and related surface antigens	3
LNNEOK_00035	Prophage protein	3
LNNEOK_24685	Prophage side tail fiber protein	3
LNNEOK_00020	Host specificity protein J	3
LNNEOK_00015	Phage-related protein, tail assembly protein I	3
LNNEOK_00010	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	3
LNNEOK_24655	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	3
LNNEOK_24305	phage minor tail protein L	3
LNNEOK_24050	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	2
LNNEOK_24055	tRNA(fMet)-specific endonuclease VapC	2
LNNEOK_20830	Methyltransferase type 12 domain-containing protein	2
LNNEOK_20920	Hok/gef family protein	2
LNNEOK_01265	DMSO/selenate family reductase complex B subunit	2
LNNEOK_18485	Bacteriocin immunity protein	2
LNNEOK_01225	starvation-sensing protein RspA	2
LNNEOK_10015	InsB	2
LNNEOK_08955	IS3 family ISSd1 transposase	2
LNNEOK_01505	class I fumarate hydratase	2
LNNEOK_24410	hypothetical protein	2
LNNEOK_24415	Transmembrane protein	2
LNNEOK_24420	SAR-endolysin	2
LNNEOK_24795	IS30 family IS30 transposase	2
LNNEOK_00795	PAAR repeat-containing protein	2
LNNEOK_08740	Tetratricopeptide repeat protein	2
LNNEOK_08735	Integrase/recombinase, includes phage integrase	2
LNNEOK_24765	NADP-dependent isocitrate dehydrogenase	2
LNNEOK_24510	Type I toxin-antitoxin system Hok family toxin	2
LNNEOK_00965	glutamate decarboxylase	2
LNNEOK_04100	colanic acid biosynthesis phosphomannomutase CpsG	2
LNNEOK_24900	Ybl63	2
LNNEOK_23615	Prophage protein	2
LNNEOK_07940	Type VI secretion system tip protein VgrG	2
LNNEOK_23600	Bacterial toxin YdaT domain-containing protein	2
LNNEOK_23595	Phage replisome organizer	2
LNNEOK_15990	Antitoxin of the YeeV-YeeU toxin-antitoxin system; CP4-44 prophage	2
LNNEOK_23635	Replication protein	2
LNNEOK_23625	Prophage protein	2
LNNEOK_16015	Aec71	2
LNNEOK_16005	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2
LNNEOK_16000	CP4-44 prophage	2
LNNEOK_11040	translation elongation factor EF-Tu 1	2
LNNEOK_16010	Antirestriction protein	2
LNNEOK_03240	Outer membrane porin OmpC/OmpF/PhoE	2
LNNEOK_23620	Uncharacterized protein YdfB	2
LNNEOK_16825	class 1 fructose-bisphosphatase	1
LNNEOK_16830	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	1
LNNEOK_16840	ribosome biogenesis factor YjgA	1
LNNEOK_16845	metalloprotease PmbA	1
LNNEOK_17355	Uncharacterized N-acetyltransferase YjhQ	1
LNNEOK_17350	Uncharacterized protein YjhP	1
LNNEOK_17345	Putative aminopeptidase SgcX	1
LNNEOK_16915	HTH-type transcriptional repressor BdcR	1
LNNEOK_16910	SDR family oxidoreductase	1
LNNEOK_16850	cytochrome b562	1
LNNEOK_16855	anaerobic ribonucleoside-triphosphate reductase-activating protein	1
LNNEOK_16860	anaerobic ribonucleoside-triphosphate reductase	1
LNNEOK_16865	alpha,alpha-phosphotrehalase	1
LNNEOK_16820	galactofuranose ABC transporter, permease protein YjfF	1
LNNEOK_16870	PTS trehalose transporter subunit IIBC	1
LNNEOK_16875	trehalose operon repressor TreR	1
LNNEOK_16880	mgtA leader peptide	1
LNNEOK_16885	magnesium-translocating P-type ATPase	1
LNNEOK_16890	2-iminobutanoate/2-iminopropanoate deaminase	1
LNNEOK_16895	aspartate carbamoyltransferase regulatory subunit	1
LNNEOK_16900	aspartate carbamoyltransferase	1
LNNEOK_16905	RutC family protein yjgH	1
LNNEOK_17340	Putative phosphotransferase enzyme IIB component SgcB	1
LNNEOK_16765	Hemolysin-related protein, contains CBS domains, UPF0053 family	1
LNNEOK_16760	Uncharacterized protein YtfK	1
LNNEOK_16755	YtfJ family protein	1
LNNEOK_16750	3'(2'),5'-bisphosphate nucleotidase CysQ	1
LNNEOK_16740	2',3'-cyclic-nucleotide 2'-phosphodiesterase	1
LNNEOK_16735	2',3'-cyclic-nucleotide 2'-phosphodiesterase	1
LNNEOK_16730	Uncharacterized HTH-type transcriptional regulator YtfH	1
LNNEOK_17360	UPF0386 protein YjhX	1
LNNEOK_16725	NAD(P)H:quinone oxidoreductase	1
LNNEOK_16720	Inner membrane protein YtfF	1
LNNEOK_17410	Type I fimbrial chaperone	1
LNNEOK_16715	iron-sulfur cluster repair protein YtfE	1
LNNEOK_16710	D-serine/D-alanine/glycine transporter	1
LNNEOK_16705	FKBP-type peptidyl-prolyl cis-trans isomerase	1
LNNEOK_16700	cell division protein YtfB	1
LNNEOK_16695	Transposase	1
LNNEOK_17405	fimbria/pilus periplasmic chaperone	1
LNNEOK_16815	galactofuranose ABC transporter, ATP-binding protein YtfT	1
LNNEOK_16920	toxin-antitoxin biofilm protein TabA	1
LNNEOK_16810	Galactofuranose transporter ATP-binding protein YtfR	1
LNNEOK_16800	galactofuranose ABC transporter substrate-binding protein YtfQ	1
LNNEOK_16795	inorganic diphosphatase	1
LNNEOK_16790	Gamma-glutamylcyclotransferase family protein YtfP	1
LNNEOK_16785	autotransporter assembly complex protein TamB	1
LNNEOK_17400	Fimbrin-like protein fimI precursor	1
LNNEOK_17370	putative 9-O-acetyl-N-acetylneuraminic acid deacetylase	1
LNNEOK_17375	N-acetylneuraminate epimerase	1
LNNEOK_17380	N-acetylneuraminic acid outer membrane channel NanC	1
LNNEOK_17385	type 1 fimbria switch DNA invertase FimB	1
LNNEOK_17390	type 1 fimbria switch DNA invertase FimE	1
LNNEOK_16780	autotransporter assembly complex protein TamA	1
LNNEOK_17395	Type-1 fimbrial protein, A chain precursor	1
LNNEOK_16775	Peptide methionine sulfoxide reductase MsrA	1
LNNEOK_17365	Putative uncharacterized protein YjhR	1
LNNEOK_17325	Putative phosphotransferase IIA component SgcA	1
LNNEOK_17145	KpLE2 phage-like element	1
LNNEOK_17150	Fe(3+) dicitrate ABC transporter ATP-binding protein FecE	1
LNNEOK_17155	Fe(3+) dicitrate ABC transporter permease subunit FecD	1
LNNEOK_17160	iron-dicitrate ABC transporter permease FecC	1
LNNEOK_17165	Fe(3+) dicitrate ABC transporter substrate-binding protein FecB	1
LNNEOK_17170	Fe(3+) dicitrate transport protein FecA	1
LNNEOK_17175	ferric citrate uptake sigma factor regulator FecR	1
LNNEOK_17180	RNA polymerase sigma factor FecI	1
LNNEOK_17185	Protein YkiE	1
LNNEOK_17195	Biofilm development YmgB/AriR family protein	1
LNNEOK_17200	Uncharacterized conserved protein, contains a phytase-like domain	1
LNNEOK_17320	ribulose-phosphate 3 epimerase family protein	1
LNNEOK_17205	IS66 family transposase	1
LNNEOK_17315	Putative sgc region transcriptional regulator	1
LNNEOK_16940	Uncharacterized N-acetyltransferase YjgM	1
LNNEOK_17305	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH	1
LNNEOK_17210	AlpA family phage regulatory protein	1
LNNEOK_17215	Aec62	1
LNNEOK_17220	DUF3987 domain-containing protein	1
LNNEOK_17225	putative GTPase	1
LNNEOK_17230	autotransporter adhesin Ag43	1
LNNEOK_17235	DUF905 domain-containing protein	1
LNNEOK_17260	hypothetical protein	1
LNNEOK_17270	S-methyl-5-thioribose kinase	1
LNNEOK_17275	S-methyl-5-thioribose-1-phosphate isomerase	1
LNNEOK_17280	5-methylthioribulose-1-phosphate/5-deoxyribulose-1-phosphate aldolase	1
LNNEOK_17285	Integral membrane protein	1
LNNEOK_17290	Uncharacterized transcriptional regulator YjhU	1
LNNEOK_17295	Uncharacterized permease YjhF	1
LNNEOK_17300	xylonate dehydratase YjhG	1
LNNEOK_17310	Uncharacterized HTH-type transcriptional regulator YjhI	1
LNNEOK_16925	SopA-central-domain-like hexapeptide repeat protein	1
LNNEOK_16930	ornithine carbamoyltransferase	1
LNNEOK_16935	ribonuclease E inhibitor RraB	1
LNNEOK_16945	Inner membrane protein YjgN	1
LNNEOK_16950	valine--tRNA ligase	1
LNNEOK_16955	DNA polymerase III subunit chi	1
LNNEOK_17335	Putative permease IIC component	1
LNNEOK_16970	leucyl aminopeptidase	1
LNNEOK_16980	LPS export ABC transporter permease LptF	1
LNNEOK_16985	LPS export ABC transporter permease LptG	1
LNNEOK_16990	Uncharacterized protein YjgR	1
LNNEOK_16995	DNA-binding transcriptional regulator IdnR	1
LNNEOK_17000	gnt-II system L-idonate transporter	1
LNNEOK_17005	gluconate 5-dehydrogenase	1
LNNEOK_17010	L-idonate 5-dehydrogenase	1
LNNEOK_17140	IS3 family transposase	1
LNNEOK_17020	NADPH-dependent aldehyde reductase Ahr	1
LNNEOK_17030	Su+6 (SupP) amber suppressor transfer RNA-Leu	1
LNNEOK_17035	Putative protein IntB	1
LNNEOK_17050	Phosphoethanolamine transferase	1
LNNEOK_17055	Membrane-associated, metal-dependent hydrolase	1
LNNEOK_17060	Putative phosphoethanolamine transferase YjgX	1
LNNEOK_17065	IS4 family IS4 transposase	1
LNNEOK_17080	MFS transporter	1
LNNEOK_17085	Uncharacterized oxidoreductase YjhC	1
LNNEOK_17090	Uncharacterized protein YthA	1
LNNEOK_17095	YjhD	1
LNNEOK_17330	BtpA family protein SgcQ	1
LNNEOK_17110	hypothetical protein	1
LNNEOK_17115	Choline transporter	1
LNNEOK_17120	Choline-glycine betaine transporter	1
LNNEOK_17015	gluconokinase	1
LNNEOK_16200	DNA-binding protein	1
LNNEOK_16195	Alcohol dehydrogenase	1
LNNEOK_16190	Propanediol utilization protein	1
LNNEOK_16185	ethanolamine utilization protein EutJ	1
LNNEOK_16180	Ethanolamine utilization protein	1
LNNEOK_16175	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	1
LNNEOK_16170	Heme-binding protein	1
LNNEOK_16165	propionate kinase	1
LNNEOK_17415	fimbrial usher FimD	1
LNNEOK_16155	propanediol utilization microcompartment protein PduB	1
LNNEOK_16150	Aldehyde dehydrogenase EutE	1
LNNEOK_16145	BMC circularly permuted domain-containing protein	1
LNNEOK_16140	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	1
LNNEOK_16135	Pyruvate-formate lyase	1
LNNEOK_16130	Pyruvate-formate lyase-activating enzyme	1
LNNEOK_16125	Permease	1
LNNEOK_16120	Maturase	1
LNNEOK_16160	propanediol utilization microcompartment protein PduA	1
LNNEOK_16310	transcriptional regulator	1
LNNEOK_16290	Amino acid antiporter	1
LNNEOK_16285	Arginine decarboxylase	1
LNNEOK_16280	Amino acid permease	1
LNNEOK_16275	IS1 family transposase ORF A	1
LNNEOK_16270	Alcohol dehydrogenase	1
LNNEOK_16260	IS3 family transposase	1
LNNEOK_16255	Transposase	1
LNNEOK_16205	hypothetical protein	1
LNNEOK_16245	SMODS and SLOG-associating 2TM effector domain-containing protein	1
