protein_id	protein_name	count
LGEMPL_24960	IS6 family IS15DIV transposase	11
LGEMPL_06875	IS110 family IS5075 transposase	6
LGEMPL_25285	IS5 family ISKpn26 transposase	5
LGEMPL_11295	IS5 family IS903B transposase	3
LGEMPL_12185	Oxaloacetate decarboxylase gamma chain	2
LGEMPL_25860	RNAI modulator protein rop	2
LGEMPL_11310	Maltoporin	2
LGEMPL_06365	elongation factor Tu	2
LGEMPL_10850	sodium-extruding oxaloacetate decarboxylase subunit alpha	2
LGEMPL_10855	Oxaloacetate decarboxylase beta chain	2
LGEMPL_04360	lysine--tRNA ligase	2
LGEMPL_20815	Transposase InsE and inactivated derivatives	2
LGEMPL_20810	IS66 family insertion sequence element accessory protein TnpB	2
LGEMPL_26040	replication initiation protein	2
LGEMPL_19180	Lipoprotein	2
LGEMPL_20785	TIR domain-containing protein	2
LGEMPL_20780	ISNCY family transposase	2
LGEMPL_25290	glutaredoxin-dependent arsenate reductase	2
LGEMPL_25295	Na+/H+ antiporter NhaD or related arsenite permease	2
LGEMPL_25310	As(III)-sensing metalloregulatory transcriptional repressor ArsR	2
LGEMPL_16825	DMSO/selenate family reductase complex B subunit	2
LGEMPL_19860	class I fumarate hydratase FumA	2
LGEMPL_25500	IS1 family transposase ORF B	2
LGEMPL_20805	IS66 family ISKpn49 transposase	2
LGEMPL_26035	NadS family protein	2
LGEMPL_26020	Protein MobB	2
LGEMPL_26015	Plasmid mobilization relaxosome protein MobC	2
LGEMPL_26030	Addiction module toxin RelE	2
LGEMPL_26010	DNA methyltransferase	2
LGEMPL_25035	Tn3-like element ISPa38 family transposase	2
LGEMPL_26025	MbeD family mobilization/exclusion protein	2
LGEMPL_17360	Serine transporter YbeC, amino acid:H+ symporter family	1
LGEMPL_17365	hypothetical protein	1
LGEMPL_17155	Multidrug resistance efflux pump EmrA	1
LGEMPL_17400	Permease of the drug/metabolite transporter (DMT) superfamily	1
LGEMPL_17370	DUF1161 domain-containing protein	1
LGEMPL_17355	Protein YmjE	1
LGEMPL_17375	Short-chain dehydrogenase	1
LGEMPL_17380	DNA-binding transcriptional regulator, HxlR family	1
LGEMPL_17385	bifunctional glucose-1-phosphatase/inositol phosphatase	1
LGEMPL_17390	YccJ protein	1
LGEMPL_17395	NAD(P)H:quinone oxidoreductase	1
LGEMPL_17160	Glycosyltransferase involved in cell wall bisynthesis	1
LGEMPL_17480	iron uptake transporter deferrochelatase/peroxidase subunit	1
LGEMPL_17475	iron uptake system protein EfeO	1
LGEMPL_17470	iron uptake transporter permease EfeU	1
LGEMPL_17465	Nucleoside permease NupC	1
LGEMPL_17460	DUF3574 domain-containing protein	1
LGEMPL_17455	sodium/proline symporter PutP	1
LGEMPL_17485	phosphate starvation-inducible protein PhoH	1
LGEMPL_17410	pyrimidine utilization flavin reductase protein F	1
LGEMPL_17445	DUF1311 domain-containing protein	1
LGEMPL_17440	HTH-type transcriptional regulator RutR	1
LGEMPL_17435	pyrimidine utilization protein A	1
LGEMPL_17430	pyrimidine utilization protein B	1
LGEMPL_17425	pyrimidine utilization protein C	1
LGEMPL_17420	pyrimidine utilization protein D	1
LGEMPL_17415	malonic semialdehyde reductase	1
LGEMPL_17405	pyrimidine utilization transport protein G	1
LGEMPL_17450	trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase	1
LGEMPL_17295	Flavodoxin/ferredoxin--NADP reductase	1
LGEMPL_17290	HPr or related phosphotransfer protein	1
LGEMPL_17285	PTS fructose transporter subunit EIIC	1
LGEMPL_17280	PTS fructose-like transporter subunit IIB	1
LGEMPL_17275	formate C-acetyltransferase	1
LGEMPL_17215	Glucan phosphorylase	1
LGEMPL_17270	[formate-C-acetyltransferase]-activating enzyme	1
