# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	14	712	+	LNNEOK_00005	gp18	phage minor tail protein L	COG:COG4672, COG:X, GO:0005198, GO:0016032, RefSeq:WP_021524657.1, SO:0001217, UniParc:UPI00038FF9E7, UniRef:UniRef100_A0A1V2SUB1, UniRef:UniRef50_B6ETF9, UniRef:UniRef90_H6WZM3
contig_1	cds	723	1466	+	LNNEOK_00010	rri1	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	COG:COG1310, COG:O, KEGG:K26975, RefSeq:WP_001351101.1, SO:0001217, UniParc:UPI0001FB89CE, UniRef:UniRef100_UPI001CC50D93, UniRef:UniRef50_A0A376D9Z6, UniRef:UniRef90_A0A0H2V6J2
contig_1	cds	1463	2044	+	LNNEOK_00015		Phage-related protein, tail assembly protein I	COG:COG4723, COG:X, RefSeq:WP_001090043.1, SO:0001217, UniParc:UPI0001DC6459, UniRef:UniRef100_V0Y9C3, UniRef:UniRef50_A0A3P4HNG7, UniRef:UniRef90_V0Y9C3
contig_1	cds	2388	6080	+	LNNEOK_00020		Host specificity protein J	RefSeq:WP_001773905.1, SO:0001217, UniParc:UPI0002A23DD8, UniRef:UniRef100_UPI001C0440DC, UniRef:UniRef50_I6EJG2, UniRef:UniRef90_B7N3M8
contig_1	cds	6148	6747	+	LNNEOK_00025	lomR	Opacity protein LomR and related surface antigens	COG:COG3637, COG:M, RefSeq:WP_016238842.1, SO:0001217, UniParc:UPI00033A674E, UniRef:UniRef100_UPI0023594076, UniRef:UniRef50_A0A0K5LLT7, UniRef:UniRef90_UPI001CC66BFD
contig_1	cds	6899	8962	+	LNNEOK_00030		Prophage side tail fiber protein	RefSeq:WP_016238843.1, SO:0001217, UniParc:UPI0003353548, UniRef:UniRef100_A0A3T8R577, UniRef:UniRef50_A0A0H3MHW6, UniRef:UniRef90_A0A376J361
contig_1	cds	8959	9237	+	LNNEOK_00035		Prophage protein	RefSeq:WP_001204581.1, SO:0001217, UniParc:UPI0001886434, UniRef:UniRef100_A0A0V9HEJ4, UniRef:UniRef50_A0A454A3B6, UniRef:UniRef90_A0A3J0YHW7
contig_1	cds	9247	9543	+	LNNEOK_00040		Ybl63	RefSeq:WP_000355614.1, SO:0001217, UniParc:UPI00019F4BDC, UniRef:UniRef100_A0A2G9A6S1, UniRef:UniRef50_A0A6L6ZZJ2, UniRef:UniRef90_A0A6L6ZZJ2
contig_1	cds	10179	10631	+	LNNEOK_00045		Rhodococcus equi virulence-associated protein	RefSeq:WP_001304589.1, SO:0001217, UniParc:UPI00019F4BDA, UniRef:UniRef100_A0A229CDU6, UniRef:UniRef50_A0A229CDU6, UniRef:UniRef90_A0A229CDU6
contig_1	cds	10807	10908	-	LNNEOK_00050		Damage-inducible protein dinI-like	SO:0001217, UniParc:UPI0002A3300D, UniRef:UniRef100_A0A2X1KVT7, UniRef:UniRef50_A0A2X1KVT7, UniRef:UniRef90_A0A2X1KVT7
contig_1	cds	11259	12065	-	LNNEOK_00055	trpA	tryptophan synthase subunit alpha	COG:COG0159, COG:E, EC:4.2.1.20, GO:0000162, GO:0004834, RefSeq:WP_001357405.1, SO:0001217, UniParc:UPI0001F664B8, UniRef:UniRef100_A0A2V2LNS2, UniRef:UniRef50_Q8ECU9, UniRef:UniRef90_Q8X7B5
contig_1	cds	12065	13258	-	LNNEOK_00060	trpB	tryptophan synthase subunit beta	COG:COG0133, COG:E, EC:4.2.1.20, GO:0000162, GO:0004834, RefSeq:WP_000209513.1, SO:0001217, UniParc:UPI00000DEB17, UniRef:UniRef100_B7UR67, UniRef:UniRef50_Q8X7B6, UniRef:UniRef90_Q8X7B6
contig_1	cds	13270	14628	-	LNNEOK_00065	trpF	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF	COG:COG0135, COG:E, EC:4.1.1.48, EC:5.3.1.24, GO:0000162, GO:0004425, GO:0004640, GO:0006568, KEGG:K13498, RefSeq:WP_001538690.1, SO:0001217, UniParc:UPI0002A36422, UniRef:UniRef100_A0A3L5GYT0, UniRef:UniRef50_P00909, UniRef:UniRef90_Q8X7B7
contig_1	cds	14632	16227	-	LNNEOK_00070	trpD	bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD	COG:COG0547, COG:E, EC:2.4.2.18, EC:4.1.3.27, GO:0000162, GO:0000287, GO:0002047, GO:0004048, GO:0004049, GO:0006541, RefSeq:WP_000763537.1, SO:0001217, UniParc:UPI00025C9EAC, UniRef:UniRef100_A0A330C7S0, UniRef:UniRef50_P00904, UniRef:UniRef90_P00904
contig_1	cds	16227	17789	-	LNNEOK_00075	trpE	anthranilate synthase component I	COG:COG0147, COG:EH, EC:4.1.3.27, GO:0000162, GO:0004049, GO:0005950, GO:0046872, RefSeq:WP_001538691.1, SO:0001217, UniParc:UPI0002A318DB, UniRef:UniRef100_A0A377K7T7, UniRef:UniRef50_P00898, UniRef:UniRef90_P00895
contig_1	ncRNA-region	17811	17904	-			Tryptophan operon leader	RFAM:RF00513, SO:0000140
contig_1	sorf	17881	17925	-	LNNEOK_00080	trpL	trp operon leader peptide	GO:0000162, RefSeq:WP_001700591.1, SO:0001217, UniParc:UPI000012E89C, UniRef:UniRef100_P0AD94, UniRef:UniRef50_P0AD94, UniRef:UniRef90_P0AD94
contig_1	cds	18063	18944	+	LNNEOK_00085	yciV	5'-3' exoribonuclease	BlastRules:WP_000500442, COG:COG0613, COG:F, EC:3.1.13.-, EC:3.1.3.97, GO:0000166, GO:0004534, GO:0006364, GO:0035312, GO:0046872, GO:0097657, RefSeq:WP_001538692.1, SO:0001217, UniParc:UPI0002A3BC44, UniRef:UniRef100_A0A377K813, UniRef:UniRef50_P77766, UniRef:UniRef90_P77766
